"formationid";"formationtitle";"moduleid";"moduleorder";"moduletitle";"moduledescription"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93668";"0";"SharePoint infrastructure";"<p>Ce module concerne l&rsquo;infrastructure SharePoint fondamentale. Il décrit les composants de la batterie de serveurs SharePoint. Il explique également comment installer et configurer la batterie de serveurs SharePoint.</p><div>Planifier une batterie de serveurs SharePoint</div><div>Vue d&rsquo;ensemble de SharePoint Server 2019</div><div>Installer et gérer une batterie de serveurs SharePoint</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Décrire la fonctionnalité MinRole dans SharePoint 2019</div><div>Décrire comment installer et configurer SharePoint 2019</div><div>Décrire comment mettre en œuvre la haute disponibilité pour SharePoint</div><div>Planifier les sauvegardes et la restauration de la batterie</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93671";"1";"authentification et sécurité SharePoint";"<p>Ce module concerne l&rsquo;authentification et la sécurité SharePoint. Il introduit différentes méthodes d&rsquo;authentification dans SharePoint 2019.</p><div>Plan authentication</div><div>Configurer l&rsquo;authentification fédérée</div><div>Après avoir terminé ce module, les étudiants seront capables de:</div><div>Décrivez l&rsquo;infrastructure d&rsquo;authentification dans SharePoint 2019.</div><div>Décrivez l&rsquo;authentification NTLM et Kerberos.</div><div>Décrivez l&rsquo;authentification de serveur à serveur.</div><div>Expliquez les concepts de l&rsquo;identité fédérée.</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93672";"2";"Gestion de contenu SharePoint";"<p>Ce module concerne la gestion de contenu SharePoint. Il traite de la structure du contenu dans SharePoint. Il fournit également des détails sur l&rsquo;autorisation et l&rsquo;accès au contenu dans SharePoint.</p><div>Planifier des sites et des collections de sites</div><div>Gérer l&rsquo;accès au contenu</div><div>Configurer et gérer les collections de sites</div><div>Après avoir terminé ce module, les étudiants seront capables de: Expliquez les concepts de la collection de sites.</div><div>Décrivez comment créer des collections de sites.</div><div>Décrivez comment planifier l&rsquo;autorisation dans SharePoint 2019.</div><div>Décrivez comment gérer les niveaux d&rsquo;autorisations dans SharePoint 2019.</div><div>Décrivez comment gérer les groupes SharePoint dans SharePoint 2019.</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93667";"3";"SharePoint service applications";"<p>Ce module concerne les applications de service et le flux de travail SharePoint. Il décrit comment approvisionner et gérer une application de service BCS et une application de service de profil</p><div>utilisateur. Plus précisément, nous expliquons comment importer et exporter des modèles BDC ainsi que comment importer des propriétés utilisateur dans SharePoint.</div><div>Applications de service et flux de travail SharePoint</div><div>Planifier et configurer le service BCS et Secure Store</div><div>Planifier et configurer le service de profil utilisateur</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Expliquez les composants clés d&rsquo;un modèle BDC.</div><div>Décrivez l&rsquo;architecture de haut niveau de BCS.</div><div>Provision a BDC Service Application instance.</div><div>Configurez l&rsquo;application Secure Store Service.</div><div>Expliquez l&rsquo;objectif du service Banque d&rsquo;informations sécurisé.</div><div>Gérez les autorisations pour une instance d&rsquo;application de service BDC.</div><div>Décrivez comment configurer les propriétés du profil utilisateur.</div><div>Décrivez comment gérer les audiences dans SharePoint 2019.</div><div>Décrivez comment configurer Mes sites dans SharePoint 2019.</div><div>Décrivez comment configurer l&rsquo;application de service de profil utilisateur.</div><div>Décrivez comment planifier l&rsquo;importation et la synchronisation de SharePoint Active</div><div>Directory.</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93666";"4";"Planifier et configurer le service de métadonnées gérées";"<p>Ce module concerne les fonctionnalités intégrales, telles que le service de métadonnées gérées, les types de contenu et les ensembles de termes, qui vous permettent de créer et de diffuser une architecture d&rsquo;informations. Il présente l&rsquo;objectif des types de contenu ainsi que les concepts du service de métadonnées gérées, y compris les taxonomies, les ensembles de termes et les mots‐clés</p><div>d&rsquo;entreprise.</div><div>Gérer les types de contenu</div><div>Présentation du service de métadonnées gérées</div><div>Configurer le service de métadonnées gérées</div><div>Après avoir terminé ce module, les étudiants seront&nbsp; capables de :</div><div>Expliquez la fonction et l&rsquo;utilisation des types de contenu.</div><div>Décrivez les fonctions du service de métadonnées gérées.</div><div>Expliquez comment créer et publier un type de contenu dans des collections de sites.</div><div>Identifiez les fonctionnalités du service de métadonnées gérées.</div><div>Créez et gérez des groupes de termes, des ensembles de termes et des termes.</div><div>Configurez les ensembles de termes et les termes pour la navigation gérée.</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93664";"5";"Planifier et configurer la recherche";"<p>Ce module concerne l&rsquo;application du service de recherche d&rsquo;entreprise. Il fournit des détails sur la planification et la configuration des sources de contenu, des planifications d&rsquo;analyse et des règles d&rsquo;analyse. Il explique également comment fournir la gestion de la recherche pour une gamme de composants de recherche, tels que les règles de requête, les types de résultats et les modèles d&rsquo;affichage.</p><div>Planifier la recherche d&rsquo;entreprise</div><div>Configurer la recherche d&rsquo;entreprise</div><div>Gérer la recherche d&rsquo;entreprise</div><div>Après avoir terminé ce module, les étudiants seront&nbsp; capables de :</div><div>Décrivez la fonction des composants de recherche.</div><div>Expliquez comment planifier et configurer une topologie de recherche.</div><div>Décrivez comment planifier et configurer les sources de contenu.</div><div>Décrivez comment planifier et configurer les planifications d&rsquo;analyse.</div><div>Décrivez comment planifier et configurer les règles&nbsp; d&rsquo;analyse.</div><div>Décrivez comment gérer le schéma de recherche.</div><div>Décrivez comment configurer le centre de recherche.</div><div>Expliquez l&rsquo;utilisation et le déploiement des règles de requête.</div><div>Expliquez l&rsquo;utilisation et le déploiement de la source des résultats.</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93663";"6";"Implémenter la recherche hybride SharePoint";"<p>Ce module est axé sur la recherche hybride SharePoint. Il introduit différents types de recherche hybride, y compris la recherche hybride dans le cloud et la recherche fédérée hybride. Il explique comment configurer la recherche hybride et configurer les résultats de la recherche</p><div>Vue d&rsquo;ensemble de la recherche hybride SharePoint</div><div>Configurer la recherche hybride SharePoint</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Décrivez la différence entre la recherche hybride dans le cloud et la recherche fédérée hybride.</div><div>Évaluez différents types de recherche hybride.</div><div>Configurez la recherche hybride dans le cloud.</div><div>Configurez les résultats de la recherche hybride</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93670";"7";"Vue d'ensemble des scénarios hybrides SharePoint";"<p>Ce module concerne la planification hybride de SharePoint Server. Il fournit une vue d&rsquo;ensemble des</p><div>scénarios hybrides SharePoint ainsi que des exigences de configuration.</div><div>Vue d&rsquo;ensemble des scénarios hybrides SharePoint</div><div>Planifier SharePoint Server hybride</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Décrivez les scénarios hybrides SharePoint disponibles.</div><div>Décrivez les conditions requises pour la configuration hybride de SharePoint.</div><div>Planifiez l&rsquo;hybride de SharePoint Server</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93669";"8";"Implémenter des scénarios hybrides SharePoint";"<p>Ce module se concentre sur la mise en œuvre de scénarios hybrides SharePoint. Plus précisément, il traite des feuilles de route de configuration hybride, y compris la&nbsp; configuration de l&rsquo;infrastructure hybride et du sélecteur hybride. Il introduit également une passerelle de données sur site pour permettre l&rsquo;utilisation des fonctionnalités de Microsoft 365 dans SharePoint Server 2019.</p><div>Mettre en œuvre des scénarios hybrides SharePoint</div><div>Configurer la passerelle de données sur site</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Configurez les scénarios hybrides SharePoint.</div><div>Configurez la passerelle de données sur site.</div>"
"1";"Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration";"93665";"9";"Planifier la migration de contenu";"<p>Ce module consiste à planifier le processus de migration vers le cloud. Il fournit un aperçu des ressources et des outils à exploiter pendant le processus de migration.</p><div>Vue d&rsquo;ensemble de la migration de contenu</div><div>Préparez-vous à la migration de contenu</div><div>Après avoir terminé ce module, les étudiants seront capables de :</div><div>Planifiez le processus de migration de contenu.</div><div>Décrivez les ressources et les outils disponibles à exploiter pendant le processus de migration.</div>"
