formationid;formationtitle;moduleid;moduleorder;moduletitle;moduledescription
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93668;0;SharePoint infrastructure;<p>Ce module porte sur les bases de l’infrastructure SharePoint. Il présente les éléments constitutifs d’une batterie de serveurs SharePoint et explique les étapes nécessaires pour installer et configurer cette batterie de serveurs.</p><div>Planification d’une batterie de serveurs SharePoint</div><div>Présentation générale de SharePoint Server 2019</div><div>Installation et administration d’une batterie de serveurs SharePoint</div><div>À l’issue de ce module, les apprenants seront en mesure de :</div><div>Expliquer la fonctionnalité MinRole dans SharePoint 2019</div><div>Décrire les procédures d’installation et de configuration de SharePoint 2019</div><div>Préconiser des méthodes pour assurer la haute disponibilité de SharePoint</div><div>Concevoir un plan de sauvegarde et de restauration pour la batterie de serveurs</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93671;1;authentification et sécurité SharePoint;<p>Ce module traite des aspects liés à la sécurité et à l’authentification dans SharePoint. Il présente les diverses approches disponibles pour gérer l’authentification dans SharePoint 2019.</p><div>Planifier l’authentification</div><div>Mettre en place l’authentification fédérée</div><div>À l’issue de ce module, les apprenants seront en mesure de :</div><div>Exposer la structure de l’authentification au sein de SharePoint 2019.</div><div>Expliquer les principes de l’authentification NTLM et Kerberos.</div><div>Décrire l’authentification entre serveurs.</div><div>Présenter les notions relatives à l’identité fédérée.</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93672;2;Gestion de contenu SharePoint;<p>Ce module traite de l’administration du contenu dans SharePoint. Il aborde la manière dont le contenu est structuré au sein de SharePoint et fournit également des informations sur la gestion des autorisations et de l’accès aux données dans l’environnement SharePoint.</p><div>Planification des sites et des collections de sites</div><div>Gestion de l’accès au contenu</div><div>Configuration et administration des collections de sites</div><div>À la fin de ce module, les apprenants seront en mesure de : expliquer les notions liées aux collections de sites.</div><div>Présenter les étapes nécessaires à la création de collections de sites.</div><div>Décrire la façon de planifier les autorisations dans SharePoint 2019.</div><div>Indiquer comment administrer les différents niveaux d’autorisation dans SharePoint 2019.</div><div>Expliquer la méthode de gestion des groupes SharePoint dans SharePoint 2019.</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93667;3;SharePoint service applications;<p>Ce module aborde les applications de service ainsi que le flux de travail SharePoint. Il présente les méthodes pour déployer et administrer une application de service BCS ainsi qu’une application de service de profil</p><div>utilisateur. Plus précisément, nous détaillons la procédure d’importation et d’exportation des modèles BDC, ainsi que la manière d’intégrer des propriétés utilisateur dans SharePoint.</div><div>Applications de service et processus de travail SharePoint</div><div>Planification et configuration du service BCS et du Secure Store</div><div>Planification et configuration du service de profils utilisateurs</div><div>À la fin de ce module, les apprenants seront en mesure de :</div><div>Présenter les éléments essentiels d’un modèle BDC.</div><div>Décrire la structure générale de l’architecture BCS.</div><div>Mettre en place une instance d’application de service BDC.</div><div>Configurer l’application du service Secure Store.</div><div>Expliquer le rôle du service Banque d’informations sécurisée.</div><div>Administrer les autorisations pour une instance d’application de service BDC.</div><div>Expliquer comment paramétrer les propriétés de profil utilisateur.</div><div>Décrire la gestion des audiences dans SharePoint 2019.</div><div>Présenter la configuration du site « Mes sites » dans SharePoint 2019.</div><div>Expliquer la mise en place de l’application de service de profil utilisateur.</div><div>Décrire la planification de l’importation et de la synchronisation avec SharePoint Active</div><div>Directory.</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93666;4;Planifier et configurer le service de métadonnées gérées;<p>Ce module aborde les fonctionnalités essentielles, comme le service de métadonnées gérées, les types de contenu et les ensembles de termes, qui vous aident à concevoir et à déployer une architecture de l’information cohérente. Il expose la finalité des types de contenu ainsi que les principes du service de métadonnées gérées, englobant notamment les taxonomies, les ensembles de termes et les mots-clés</p><div>d’entreprise.</div><div>Administration des types de contenu</div><div>Introduction au service de métadonnées gérées</div><div>Configuration du service de métadonnées gérées</div><div>À l’issue de ce module, les apprenants seront en mesure de :</div><div>Expliquer le rôle et l’utilisation des types de contenu.</div><div>Décrire les principales fonctions du service de métadonnées gérées.</div><div>Montrer comment concevoir et publier un type de contenu dans différentes collections de sites.</div><div>Reconnaître les caractéristiques du service de métadonnées gérées.</div><div>Créer et administrer des groupes de termes, des ensembles de termes et des termes individuels.</div><div>Configurer les ensembles de termes et les termes afin d’activer la navigation gérée.</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93664;5;Planifier et configurer la recherche;<p>Ce module traite de la mise en œuvre du service de recherche d’entreprise. Il présente des informations détaillées sur la planification et la configuration des sources de contenu, des planifications d’analyse ainsi que des règles associées. Il décrit également la manière de gérer le moteur de recherche à travers plusieurs composants, notamment les règles de requête, les types de résultats et les modèles de présentation.</p><div>Planifier la recherche d’entreprise</div><div>Configurer la recherche d’entreprise</div><div>Administrer la recherche d’entreprise</div><div>À la fin de ce module, les apprenants seront en mesure de :</div><div>Décrire le rôle des différents composants de la recherche.</div><div>Expliquer la manière de planifier et de configurer une topologie de recherche.</div><div>Présenter les étapes de planification et de configuration des sources de contenu.</div><div>Détailler comment organiser et paramétrer les planifications d’analyse.</div><div>Illustrer la façon de définir et d’ajuster les règles d’analyse.</div><div>Présenter la méthode de gestion du schéma de recherche.</div><div>Décrire le processus de configuration du centre de recherche.</div><div>Expliquer comment utiliser et déployer les règles de requête.</div><div>Clarifier l’utilisation et la mise en œuvre de la source de résultats.</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93663;6;Implémenter la recherche hybride SharePoint;<p>Ce module porte sur la recherche hybride dans SharePoint. Il présente les divers types de recherche hybride, notamment la recherche hybride basée sur le cloud et la recherche fédérée hybride. Il décrit également les étapes de configuration de la recherche hybride et l’établissement des résultats de recherche.</p><div>Présentation générale de la recherche hybride SharePoint</div><div>Paramétrage de la recherche hybride SharePoint</div><div>À la fin de ce module, les apprenants seront en mesure de :</div><div>Expliquer les distinctions entre la recherche hybride basée sur le cloud et la recherche fédérée hybride.</div><div>Analyser les différents types de recherche hybride.</div><div>Mettre en place la recherche hybride dans le cloud.</div><div>Configurer les résultats issus de la recherche hybride.</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93670;7;Vue d'ensemble des scénarios hybrides SharePoint;<p>Ce module aborde la planification hybride de SharePoint Server et propose une présentation générale des</p><div>différents scénarios hybrides de SharePoint ainsi que des prérequis nécessaires à la configuration.</div><div>Présentation des scénarios hybrides de SharePoint</div><div>Élaboration de la planification hybride de SharePoint Server</div><div>À l’issue de ce module, les apprenants seront en mesure de :</div><div>Identifier les scénarios hybrides SharePoint existants.</div><div>Expliquer les prérequis indispensables à la mise en place d’une configuration hybride de SharePoint.</div><div>Préparer la planification hybride de SharePoint Server</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93669;8;Implémenter des scénarios hybrides SharePoint;<p>Ce module porte sur la mise en place de scénarios hybrides pour SharePoint. Il aborde en particulier les parcours de configuration hybride, comprenant la configuration de l’infrastructure et du sélecteur hybrides. Il présente également une passerelle de données locale, permettant l’intégration des fonctionnalités de Microsoft 365 avec SharePoint Server 2019.</p><div>Mettre en place des scénarios hybrides SharePoint</div><div>Configurer la passerelle de données locale</div><div>À la fin de ce module, les apprenants seront en mesure de :</div><div>Mettre en œuvre des scénarios hybrides SharePoint.</div><div>Mettre en œuvre la passerelle de données locale.</div>
1;Formation Microsoft MS-050 : SharePoint Hybrid Deployment and Migration;93665;9;Planifier la migration de contenu;<p>Ce module porte sur la planification du passage vers le cloud. Il offre une présentation générale des ressources et des outils à utiliser tout au long du processus de migration.</p><div>Présentation générale de la migration de contenu</div><div>Préparation à la migration du contenu</div><div>À l’issue de ce module, les apprenants seront en mesure de :</div><div>Élaborer un plan pour le processus de migration de contenu.</div><div>Identifier et décrire les ressources ainsi que les outils disponibles à employer durant la migration.</div>
